text,timestamp,concept_name,explanation_of_concept,education_level
measured and predicted and then came Einstein who revolutionized everything by saying that things were a lot more relative than all that space could bend time mysterious black holes existed the universe was expanding but even Albert Einstein failed to truly grapple with what came next the wild world of quantum physics where nothing plays by the rules even Einstein's and things seem to exist in two places at once today the biggest brains on the planet are loggerheads over what this all means and where science goes next are there multiple,1:33-1:59,Black Holes,"Regions in space where gravity is so strong, not even light can escape.",High School
measured and predicted and then came Einstein who revolutionized everything by saying that things were a lot more relative than all that space could bend time mysterious black holes existed the universe was expanding but even Albert Einstein failed to truly grapple with what came next the wild world of quantum physics where nothing plays by the rules even Einstein's and things seem to exist in two places at once today the biggest brains on the planet are loggerheads over what this all means and where science goes next are there multiple,1:33-1:59,Expansion of the Universe,The observation that the universe is growing and expanding.,Undergraduate
measured and predicted and then came Einstein who revolutionized everything by saying that things were a lot more relative than all that space could bend time mysterious black holes existed the universe was expanding but even Albert Einstein failed to truly grapple with what came next the wild world of quantum physics where nothing plays by the rules even Einstein's and things seem to exist in two places at once today the biggest brains on the planet are loggerheads over what this all means and where science goes next are there multiple,1:33-1:59,Quantum Physics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where classical laws do not apply.",Graduate
universes do we live in a matrix style simulation could there be an intelligent designer for this special uncensored debate I'm joined by two scientists with very different answers to the very big question shan Carroll is professor of physics and philosophy at Johns Hopkins University he hosts his own podcast Mindscape and draws audiences of millions elsewhere dr eric Weinstein is a Harvard educated mathematician his appearances on the Joe Rogan Show alone have been viewed 26 million times and he's a regular guest on Uncensored and,2:04-2:30,Simulation Hypothesis,"The idea that our reality is a simulation created by a more advanced civilization, often discussed in the context of physics and philosophy.",High School
universes do we live in a matrix style simulation could there be an intelligent designer for this special uncensored debate I'm joined by two scientists with very different answers to the very big question shan Carroll is professor of physics and philosophy at Johns Hopkins University he hosts his own podcast Mindscape and draws audiences of millions elsewhere dr eric Weinstein is a Harvard educated mathematician his appearances on the Joe Rogan Show alone have been viewed 26 million times and he's a regular guest on Uncensored and,2:04-2:30,Multiverse Theory,"A concept in cosmology suggesting that there may be an infinite number of universes beyond our own, each with its own unique properties.",Undergraduate
despite both being scientific podcasting rock stars Dr weinstein and Professor Carol have never actually appeared together until now so welcome to you gentlemen and thank you for agreeing to lock horns very I have to say very intelligent horns uh Dr carol let me ask you first of all this are we actually here i think so i'm here i don't know about anybody else it could be a salt just kind of thing but yeah you know I think that there's a lot of things that you can imagine meaning when you say things,2:35-3:00,Imagination,"The ability to form mental images or scenarios, often used in creative thinking and problem-solving.",High School
despite both being scientific podcasting rock stars Dr weinstein and Professor Carol have never actually appeared together until now so welcome to you gentlemen and thank you for agreeing to lock horns very I have to say very intelligent horns uh Dr carol let me ask you first of all this are we actually here i think so i'm here i don't know about anybody else it could be a salt just kind of thing but yeah you know I think that there's a lot of things that you can imagine meaning when you say things,2:35-3:00,Perception,"The process of interpreting sensory information from the environment, including visual, auditory, and other senses.",High School
exist things are real etc and I think that if you don't include you and me and tables and chairs etc I don't think that you're on the right track in defining what it means to exist so yes we're here what is your main bone of contention with Eric Weinstein uh you should probably ask Eric that i mean I'm a working physicist i am a professor in a physics department i write physics papers uh I have found myself in the awkward and unenviable position of defending the establishment,3:08-3:35,Existence,"The state or fact of being real, actual, or factual.",High School
exist things are real etc and I think that if you don't include you and me and tables and chairs etc I don't think that you're on the right track in defining what it means to exist so yes we're here what is your main bone of contention with Eric Weinstein uh you should probably ask Eric that i mean I'm a working physicist i am a professor in a physics department i write physics papers uh I have found myself in the awkward and unenviable position of defending the establishment,3:08-3:35,Quantum Mechanics,A branch of physics that studies the behavior of matter and energy at an atomic and subatomic level.,Undergraduate
heterodoxy like it's never what I imagined I would be doing but there's good reasons why the heterodoxy is the heterodoxy so I think that academic physics even though I'm happy to disagree with certain choices they make about what to work on and what emphasis to put on there is working in good faith i think that we're trying our best to understand the universe at a deep level string theory which we'll talk about in the program is one example of this i have my uh my disagreements with string,3:40-4:05,Heterodoxy,"A departure from conventional or established ideas, principles, or methods.",Undergraduate
heterodoxy like it's never what I imagined I would be doing but there's good reasons why the heterodoxy is the heterodoxy so I think that academic physics even though I'm happy to disagree with certain choices they make about what to work on and what emphasis to put on there is working in good faith i think that we're trying our best to understand the universe at a deep level string theory which we'll talk about in the program is one example of this i have my uh my disagreements with string,3:40-4:05,Academic Physics,The study of the fundamental laws and principles that govern the behavior of matter and energy in the universe.,High School
heterodoxy like it's never what I imagined I would be doing but there's good reasons why the heterodoxy is the heterodoxy so I think that academic physics even though I'm happy to disagree with certain choices they make about what to work on and what emphasis to put on there is working in good faith i think that we're trying our best to understand the universe at a deep level string theory which we'll talk about in the program is one example of this i have my uh my disagreements with string,3:40-4:05,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
theorists my agreements with them but I respect it and I think that they're trying their best and if someone else comes up with a better idea they'll move what they're doing and focus on that idea it just hasn't happened yet for those with with smaller uh brain power than you what is string theory that's a great question and in fact very famous string theorist Joe Paulinsky wrote a very influential paper called what is string theory decades after string theory started being a a popular theory to think about and the fact is we,4:11-4:35,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by proposing that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
still don't know yet it's an approach you start with a very simple idea that instead of the universe being made of particle-like things at the fundamental level like the electron being a point-like particle the photon etc which we all knew wasn't exactly right anyway but we can talk about that later replace that with a little loop of vibrating string now why would you do that there's a prehistory that goes into features of the strong interactions that motivated people to do it they looked at this idea what if the world were made of little loops of string rather than point,4:42-5:07,String Theory,"A theoretical framework in physics where the fundamental building blocks are one-dimensional strings instead of point-like particles, with vibrations giving rise to different particles.",Undergraduate
still don't know yet it's an approach you start with a very simple idea that instead of the universe being made of particle-like things at the fundamental level like the electron being a point-like particle the photon etc which we all knew wasn't exactly right anyway but we can talk about that later replace that with a little loop of vibrating string now why would you do that there's a prehistory that goes into features of the strong interactions that motivated people to do it they looked at this idea what if the world were made of little loops of string rather than point,4:42-5:07,Vibrational Modes,"The different frequencies and patterns of vibration that can occur on a string, analogous to the different energy levels or modes in quantum mechanics.",High School
particles problematically the theory kept failing at what they were trying to do with it which is explain the strong nuclear force because it kept predicting the existence of gravity so eventually people said well wait a minute gravity exists maybe this is a theory of gravity as well and after uh many many years of hard work on the part of people who were otherwise ignored by the community they showed that it's actually a very successful theory of gravity and possibly everything else you have to buy,5:12-5:39,General Relativity,"Theory explaining gravity as curvature of spacetime, developed by Einstein.",Undergraduate
particles problematically the theory kept failing at what they were trying to do with it which is explain the strong nuclear force because it kept predicting the existence of gravity so eventually people said well wait a minute gravity exists maybe this is a theory of gravity as well and after uh many many years of hard work on the part of people who were otherwise ignored by the community they showed that it's actually a very successful theory of gravity and possibly everything else you have to buy,5:12-5:39,Strong Nuclear Force,Fundamental force responsible for holding protons and neutrons together in atomic nuclei.,High School
a lot of extra stuff like extra dimensions of spaceime that we don't see and so forth what is called the holographic principle which again we could get into if you want to but the theory keeps moving forward while at the same time utterly failing to connect directly with experiments so this has caused you know a lot of hair pulling among the physics community the theory looks very promising but we haven't actually been able to put it to work to connect to the real world okay Eric Weiser your response to that,5:44-6:09,Holographic Principle,"The idea that the information contained in a region of space can be encoded on its surface, similar to how a hologram encodes an image.",Graduate
a lot of extra stuff like extra dimensions of spaceime that we don't see and so forth what is called the holographic principle which again we could get into if you want to but the theory keeps moving forward while at the same time utterly failing to connect directly with experiments so this has caused you know a lot of hair pulling among the physics community the theory looks very promising but we haven't actually been able to put it to work to connect to the real world okay Eric Weiser your response to that,5:44-6:09,Extra Dimensions of Space-Time,Theoretical concepts suggesting that our universe has more than the three spatial dimensions and one time dimension we experience directly.,Undergraduate
well first of all uh I just assume that I'm being simulated by Sean Carroll uh so who knows what's real you know more or less whether we're in a simulation or whether we're in not a simulation it's a really good question i mean before you get into your into your response I mean we don't actually know do we i mean I I have sometimes the most extraordinarily vivid deja vu dreams um or I dream stuff and then it seems to happen whatever and it always makes me sit there shaking and trembling and sweating and thinking are,6:14-6:38,Simulation Hypothesis,The idea that reality might be a simulation created by a more advanced civilization.,Undergraduate
well first of all uh I just assume that I'm being simulated by Sean Carroll uh so who knows what's real you know more or less whether we're in a simulation or whether we're in not a simulation it's a really good question i mean before you get into your into your response I mean we don't actually know do we i mean I I have sometimes the most extraordinarily vivid deja vu dreams um or I dream stuff and then it seems to happen whatever and it always makes me sit there shaking and trembling and sweating and thinking are,6:14-6:38,Determinism vs. Free Will,A philosophical debate about whether human decisions are entirely determined or if we have genuine free will.,High School
we all just living in some weird simulation how would we know well maybe we should never have legalized cannabis then i don't know the uh the situation is that um I think that Sean and I probably agree almost completely on everything until 1972 then you have the first uh really serious situation where a mysterious term is not only introduced into our common vocabulary uh called quantum,6:44-7:10,Simulation Hypothesis,The idea that reality might be a simulation created by a more advanced civilization.,High School
we all just living in some weird simulation how would we know well maybe we should never have legalized cannabis then i don't know the uh the situation is that um I think that Sean and I probably agree almost completely on everything until 1972 then you have the first uh really serious situation where a mysterious term is not only introduced into our common vocabulary uh called quantum,6:44-7:10,Quantum Mechanics,"A branch of physics that studies the behavior of matter and energy at an atomic and subatomic level, where strange phenomena such as wave-particle duality occur.",Undergraduate
gravity um but it takes over as a fictitious history that the uh central problem of theoretical physics is the quantization of gravity um which is not true historically and you can check it on Google and Grams this is just a fiction the progress in the object that tracks our progress in um in physics called the lrangeian or the action uh stops moving in 1973 and there's a bunch of wiggle words that,7:15-7:43,Gravity,A fundamental force of nature that attracts objects with mass towards each other.,High School
gravity um but it takes over as a fictitious history that the uh central problem of theoretical physics is the quantization of gravity um which is not true historically and you can check it on Google and Grams this is just a fiction the progress in the object that tracks our progress in um in physics called the lrangeian or the action uh stops moving in 1973 and there's a bunch of wiggle words that,7:15-7:43,Quantization of Gravity,"The process of describing gravity in terms of discrete packets (quanta) rather than as a continuous field, which is still an open problem in theoretical physics.",Undergraduate
gravity um but it takes over as a fictitious history that the uh central problem of theoretical physics is the quantization of gravity um which is not true historically and you can check it on Google and Grams this is just a fiction the progress in the object that tracks our progress in um in physics called the lrangeian or the action uh stops moving in 1973 and there's a bunch of wiggle words that,7:15-7:43,Lagrangian or Action,"A mathematical function used to describe the dynamics of a physical system, representing the difference between the kinetic and potential energies of the system.",Graduate
I don't think we have time for between fundamental physics and regular physics but then that my guess is is that the first problem that Sean and I will find ourselves at loggerheads over is that I think that making quantum gravity the holy grail of theoretical physics which is repeated and proceverated at nauseium is a is a terrible crime and what is quantum gravity again for those who are not as offaya with this as you guys what is quantum gravity if you may the so there's a standard story that you'll hear more or less Sean is a part of a group of about five people who do most,7:50-8:16,Quantum Gravity,"A theoretical framework attempting to merge quantum mechanics and general relativity, describing gravity as an emergent property from the behavior of particles at the smallest scales.",Undergraduate
I don't think we have time for between fundamental physics and regular physics but then that my guess is is that the first problem that Sean and I will find ourselves at loggerheads over is that I think that making quantum gravity the holy grail of theoretical physics which is repeated and proceverated at nauseium is a is a terrible crime and what is quantum gravity again for those who are not as offaya with this as you guys what is quantum gravity if you may the so there's a standard story that you'll hear more or less Sean is a part of a group of about five people who do most,7:50-8:16,General Relativity,"A fundamental theory in physics describing gravity as the curvature of spacetime caused by massive objects, developed by Albert Einstein.",High School
of the communication of theoretical physics to the American public in the UK there are different ones and there are certain tropes that are repeated and you don't hear anything else so the trope that sounds something like this we have two theories uh that are bedrock reality we one called the standard model which covers three out of four forces the non-gravitational ones and all of the matter that we see in the universe as well as something called the Higsfield and maybe some other fields as well in the other theory we have Einstein's theory of gravity which was put into relatively final form be before 1920,8:23-8:50,Standard Model,A theoretical framework that describes three out of four fundamental forces and all matter in the universe.,Undergraduate
of the communication of theoretical physics to the American public in the UK there are different ones and there are certain tropes that are repeated and you don't hear anything else so the trope that sounds something like this we have two theories uh that are bedrock reality we one called the standard model which covers three out of four forces the non-gravitational ones and all of the matter that we see in the universe as well as something called the Higsfield and maybe some other fields as well in the other theory we have Einstein's theory of gravity which was put into relatively final form be before 1920,8:23-8:50,Higgs Field,"A field responsible for giving mass to particles, part of the Standard Model.",Undergraduate
of the communication of theoretical physics to the American public in the UK there are different ones and there are certain tropes that are repeated and you don't hear anything else so the trope that sounds something like this we have two theories uh that are bedrock reality we one called the standard model which covers three out of four forces the non-gravitational ones and all of the matter that we see in the universe as well as something called the Higsfield and maybe some other fields as well in the other theory we have Einstein's theory of gravity which was put into relatively final form be before 1920,8:23-8:50,Einstein's Theory of Gravity,"A theory that describes gravity as a curvature of spacetime, developed by Albert Einstein.",High School/Undergraduate
maybe by 1917 and then the claim is is that the incompatibility between the two of them is that one of them is a quantum theory that is the standard model of uh the nuclear forces electromagnetism is a quantum theory whereas Einstein's gra gravitational theory general relativity has resisted quantization and then as the trope goes that that incompatibility must be resolved by forcing the children of Einstein to submit to the will of the children of bore and that explanation to me is patently absurd the there's an,8:57-9:23,Quantum Theory,A theoretical framework describing the behavior of matter and energy at a subatomic level.,Undergraduate
maybe by 1917 and then the claim is is that the incompatibility between the two of them is that one of them is a quantum theory that is the standard model of uh the nuclear forces electromagnetism is a quantum theory whereas Einstein's gra gravitational theory general relativity has resisted quantization and then as the trope goes that that incompatibility must be resolved by forcing the children of Einstein to submit to the will of the children of bore and that explanation to me is patently absurd the there's an,8:57-9:23,General Relativity,"A theory of gravitation developed by Albert Einstein, describing gravity as the curvature of spacetime caused by mass and energy.",High School
incompatibility in the classical version of the standard model before you get to the quantum version of the standard model which is that one of them is a so-called gauge theory and the other theory cannot be gauged um successfully at least and why does it matter so much then tax day has passed but for millions of Americans that's where the trouble begins the IRS is now ramping up enforcement for those who miss the April deadline or still owe back taxes well today's sponsor Tax,9:29-9:52,Gauge Theory,A mathematical framework in physics that describes how particles interact with each other through symmetries.,Undergraduate
incompatibility in the classical version of the standard model before you get to the quantum version of the standard model which is that one of them is a so-called gauge theory and the other theory cannot be gauged um successfully at least and why does it matter so much then tax day has passed but for millions of Americans that's where the trouble begins the IRS is now ramping up enforcement for those who miss the April deadline or still owe back taxes well today's sponsor Tax,9:29-9:52,Symmetry,"A concept in physics where a system remains unchanged under certain transformations, such as rotations or translations.",High School
Network USA can still help if your books are a mess if you're self-employed or if you're a business owner tax Network USA specializes in cleaning up financial chaos and getting you back on track quickly they say the IRS is applying enforcement pressure at levels they've never seen before but even after the deadline it's not too late to take control your consultation is completely free acting now could stop penalties threatening letters and surprise levies,9:57-10:21,,,
before they escalate call 1 8009581000 or visit tnusa.com/pers that's tnusa.com/pers let taxusa make the next move not the IRS why does it matter well it it it it depends what you're trying to do i mean I can tell you why my the lead tweet in my Twitter feed is assume a traversible cosmos if Einstein is left in force my,10:27-10:53,Traversable Wormholes,"A hypothetical shortcut through spacetime, potentially connecting two distant points.",Undergraduate
before they escalate call 1 8009581000 or visit tnusa.com/pers that's tnusa.com/pers let taxusa make the next move not the IRS why does it matter well it it it it depends what you're trying to do i mean I can tell you why my the lead tweet in my Twitter feed is assume a traversible cosmos if Einstein is left in force my,10:27-10:53,Einstein's Theory of General Relativity,Describes gravity as the curvature of spacetime caused by massive objects.,High School
claim is is that there are only two rocks that Elon's uh chemical rockets can get us to um and that we've allowed ourselves to fall into the misunderstanding of Einstein's theory as the map of gravity rather than the territory of where we actually live i don't think we live in spaceime at all and Pierce I just need to get to one further thing which is um that the really significant problem I would say I am the only person in generation X to,11:00-11:26,General Relativity,"Theory of gravity as a curvature of spacetime, proposed by Albert Einstein.",High School
claim is is that there are only two rocks that Elon's uh chemical rockets can get us to um and that we've allowed ourselves to fall into the misunderstanding of Einstein's theory as the map of gravity rather than the territory of where we actually live i don't think we live in spaceime at all and Pierce I just need to get to one further thing which is um that the really significant problem I would say I am the only person in generation X to,11:00-11:26,Spacetime,"Concept that combines space and time into a single entity, also proposed by Albert Einstein.",High School
have actually been present in the room when everything shifted uh toward string theory which happened in 1983 at the University of Pennsylvania when a fellow named Edward Whitten gave the first lecture uh that I think he ever did publicly on string theory and his will and his mind were so powerful and his influence so so completely commanding that the entire sociology of the field uh turned on a dime uh in ' 83 and ' 84,11:31-11:54,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
have actually been present in the room when everything shifted uh toward string theory which happened in 1983 at the University of Pennsylvania when a fellow named Edward Whitten gave the first lecture uh that I think he ever did publicly on string theory and his will and his mind were so powerful and his influence so so completely commanding that the entire sociology of the field uh turned on a dime uh in ' 83 and ' 84,11:31-11:54,General Relativity,"A theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by massive objects.",High School
and as such I think I'm essentially the only person in generation X who saw the old uh culture of physics become the new culture of physics and what I claim is that Sean and I probably aren't that divided even on the mathematics of string theory what we where we are bitterly divided is is that I believe that Shawn thinks that the system works pretty well i would say he's part of the two cheers for uh the institutions uh meaning that he has a to be sure,12:03-12:27,String Theory,a theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that particles are one-dimensional strings rather than point-like objects.,Undergraduate
and as such I think I'm essentially the only person in generation X who saw the old uh culture of physics become the new culture of physics and what I claim is that Sean and I probably aren't that divided even on the mathematics of string theory what we where we are bitterly divided is is that I believe that Shawn thinks that the system works pretty well i would say he's part of the two cheers for uh the institutions uh meaning that he has a to be sure,12:03-12:27,Quantum Mechanics,"a branch of physics that studies the behavior of matter and energy at the smallest scales, where classical concepts no longer apply.",High School
and as such I think I'm essentially the only person in generation X who saw the old uh culture of physics become the new culture of physics and what I claim is that Sean and I probably aren't that divided even on the mathematics of string theory what we where we are bitterly divided is is that I believe that Shawn thinks that the system works pretty well i would say he's part of the two cheers for uh the institutions uh meaning that he has a to be sure,12:03-12:27,General Relativity,"a theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by massive objects.",Undergraduate
paragraph saying that the institutions undoubtedly have their problems he wish things could be done better whereas I see an absolute collapse in the ethics efficacy productivity of this at our deepest levels and if you're thinking about dark energy dark matter dark chemistry all of the things that physics has done essentially our modern world has been built by physicists even molecular biology and the internet uh come out of physicists and CERN respectively uh with the worldwide web so if you think about the impact of,12:33-12:57,Dark Energy,A hypothetical form of energy thought to be responsible for the accelerating expansion of the universe.,Undergraduate
paragraph saying that the institutions undoubtedly have their problems he wish things could be done better whereas I see an absolute collapse in the ethics efficacy productivity of this at our deepest levels and if you're thinking about dark energy dark matter dark chemistry all of the things that physics has done essentially our modern world has been built by physicists even molecular biology and the internet uh come out of physicists and CERN respectively uh with the worldwide web so if you think about the impact of,12:33-12:57,Dark Matter,"A type of matter that does not emit, absorb, or reflect light, making it invisible and detectable only through its gravitational effects.",High School
paragraph saying that the institutions undoubtedly have their problems he wish things could be done better whereas I see an absolute collapse in the ethics efficacy productivity of this at our deepest levels and if you're thinking about dark energy dark matter dark chemistry all of the things that physics has done essentially our modern world has been built by physicists even molecular biology and the internet uh come out of physicists and CERN respectively uh with the worldwide web so if you think about the impact of,12:33-12:57,CERN,"The European Organization for Nuclear Research, a research laboratory in Geneva, Switzerland that operates the Large Hadron Collider.",Undergraduate
physics more or less the story of physics is the story of the world economy in the modern era and we will be trapped here almost certainly unless you uh go in for science fiction tropes where we will not be able to get out of the solar system and the moon and the Mars will be our only diversification giving the lie to Elon's claim that he's going to save humanity by making us multilanetary the only real diversification exists is if we shed the one atmosphere we share here uh and travel the cosmos okay so I my takeaway,13:04-13:28,Escape Velocity,The minimum speed needed for an object to escape a planet's gravitational pull.,High School
physics more or less the story of physics is the story of the world economy in the modern era and we will be trapped here almost certainly unless you uh go in for science fiction tropes where we will not be able to get out of the solar system and the moon and the Mars will be our only diversification giving the lie to Elon's claim that he's going to save humanity by making us multilanetary the only real diversification exists is if we shed the one atmosphere we share here uh and travel the cosmos okay so I my takeaway,13:04-13:28,Atmospheric Escape,The process by which gases or particles escape from a planet's atmosphere into space.,Undergraduate
from that and was brilliantly articulated um Sean is that basically you are going to be responsible for the end of civilization as we know it apparently yeah i didn't know but now you know the weight is is bearing down on my shoulders look the the story Eric just told is a kind of wacky and wildly misleading history of physics in the last 50 or 60 years uh the idea of quantum gravity is a very natural one,13:34-13:57,Quantum Gravity,A theoretical framework that attempts to merge quantum mechanics and general relativity.,Undergraduate
because the world runs by the rules of quantum mechanics as far as we know this is the international year of quantum because it's the 100th anniversary of really figuring out how quantum mechanics works and the thing about quantum mechanics is it's not a theory by itself it's a framework in which you can do theories in contrast with classical mechanics from Isaac Newton that came before it and gravity our best current theory of gravity from Einstein the theory of general relativity is a thoroughgoingly classical theory certainly the default expectation is,14:02-14:28,Quantum Mechanics,"A framework for understanding physical phenomena at the atomic and subatomic level, not a standalone theory.",Undergraduate
because the world runs by the rules of quantum mechanics as far as we know this is the international year of quantum because it's the 100th anniversary of really figuring out how quantum mechanics works and the thing about quantum mechanics is it's not a theory by itself it's a framework in which you can do theories in contrast with classical mechanics from Isaac Newton that came before it and gravity our best current theory of gravity from Einstein the theory of general relativity is a thoroughgoingly classical theory certainly the default expectation is,14:02-14:28,Classical Mechanics,"A branch of physics that describes the motion of macroscopic objects, developed by Isaac Newton.",High School
because the world runs by the rules of quantum mechanics as far as we know this is the international year of quantum because it's the 100th anniversary of really figuring out how quantum mechanics works and the thing about quantum mechanics is it's not a theory by itself it's a framework in which you can do theories in contrast with classical mechanics from Isaac Newton that came before it and gravity our best current theory of gravity from Einstein the theory of general relativity is a thoroughgoingly classical theory certainly the default expectation is,14:02-14:28,General Relativity,"The current best theory of gravity, developed by Einstein, which is a classical theory describing the curvature of spacetime.",Undergraduate
that someday we will better understand gravity at the quantum level you don't have to think that because you don't have to think anything you're welcome to come up with better theories but again that's the default expectation if you have a different point of view there's a certain burden of proof to convince people that it's interesting to contemplate this other point of view the idea of actually doing the detailed calculations to quantize gravity goes back to at least the 1950s but it instantly hit roadblocks and physicists were smart enough to know that it wasn't,14:35-14:58,Quantization of Gravity,The process of applying quantum mechanics principles to understand gravity at a fundamental level.,Undergraduate
that someday we will better understand gravity at the quantum level you don't have to think that because you don't have to think anything you're welcome to come up with better theories but again that's the default expectation if you have a different point of view there's a certain burden of proof to convince people that it's interesting to contemplate this other point of view the idea of actually doing the detailed calculations to quantize gravity goes back to at least the 1950s but it instantly hit roadblocks and physicists were smart enough to know that it wasn't,14:35-14:58,Burden of Proof,A principle in scientific inquiry where new ideas or theories must be supported by evidence and convincing arguments to gain acceptance.,High School
working the way they wanted it to the very simple thing you do if I can get just a little bit detailed for a second here because people never hear this and I think it's really really important to understand why string theory is so popular if you want to invent a new quantum mechanical theory of the world the first thing you do is you ask yourself if I have two particles and they come together and scatter there's a probability that different things will happen i'm going to make photons i'm going to make electrons and posetrons or whatever and you calculate that,15:04-15:28,Scattering Amplitudes,"A mathematical representation of the probability of different outcomes when particles interact, used in quantum field theory.",Undergraduate
working the way they wanted it to the very simple thing you do if I can get just a little bit detailed for a second here because people never hear this and I think it's really really important to understand why string theory is so popular if you want to invent a new quantum mechanical theory of the world the first thing you do is you ask yourself if I have two particles and they come together and scatter there's a probability that different things will happen i'm going to make photons i'm going to make electrons and posetrons or whatever and you calculate that,15:04-15:28,Feynman Diagrams,"A graphical representation of particle interactions and scattering amplitudes, used to calculate probabilities in quantum field theory.",Undergraduate
