index,speaker,start_time,end_time,duration,youtube_timestamps,text,concept_name,explanation_of_concept,education_level
13,Piers,79.778,174.846,95.068,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=79," For centuries, scientists have grapple with the most fundamental question of them all. What is reality? Well, up until the 20th century, it's considered to be a matter of common sense. We lived in a material and objective reality, perhaps created by God, but one that could be accurately measured and predicted. And then came Einstein, who revolutionized everything by saying that things were a lot more relative than all that. Space could bend time. Mysterious black holes existed. The universe was expanding. But even Albert Einstein failed to truly grapple with what came next. The wild world of quantum physics, where nothing plays by the rules, even Einstein's, and things seem to exist in two places at once. Today, the biggest brains on the planet are loggerheads over what this all means and where science goes next. Are there multiple universes? Do we live in a matrix-style simulation? Could there be an intelligent designer? For the special uncensored debate, I'm joined by two scientists with very different answers to the very big question. Sean Carroll is Professor of Physics and Philosophy at Johns Hopkins University. He hosts his own podcast, Mindscape, and draws audiences of millions elsewhere. Dr. Eric Weinstein is a Harvard-educated mathematician. His appearances on the Joe Rogan show alone have been viewed 26 million times. He's a regular guest on Unsensit. And despite both being scientific podcasting rock stars, Dr. Weinstein and Professor Carroll have never actually appeared together until now. So welcome to you gentlemen. And thank you for agreeing to lock horns, very, I have to say, very intelligent horns. Dr. Carroll, let me ask you first of all this, are we actually here?",Quantum Physics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where the rules of classical physics do not apply.",Undergraduate
14,Sean,176.29,198.741,22.451,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=176," I think so. I'm here. I don't know about anybody else. It could be as holopsistic kind of thing. But yeah, you know, I think that there's a lot of things that you can imagine meaning when you say things exist, things are real, et cetera. And I think that if you don't include you and me in tables and chairs, et cetera, I don't think that you're on the right track in defining what it means to exist. So yes.",Holopsychism,A philosophical concept suggesting that consciousness or mind is fundamental and inseparable from physical reality.,Undergraduate
14,Sean,176.29,198.741,22.451,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=176," I think so. I'm here. I don't know about anybody else. It could be as holopsistic kind of thing. But yeah, you know, I think that there's a lot of things that you can imagine meaning when you say things exist, things are real, et cetera. And I think that if you don't include you and me in tables and chairs, et cetera, I don't think that you're on the right track in defining what it means to exist. So yes.",Existentialism,"A philosophical theory emphasizing individual existence, freedom, and choice, often in relation to the meaning of life and reality.",High School
15,Piers,198.741,199.39,0.649,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=198, We're here.,,,
16,Piers,199.906,202.814,2.908,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=199, What is your main bone of contention with,Torque,A measure of rotational force that causes an object to rotate around a pivot point.,High School
16,Piers,199.906,202.814,2.908,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=199, What is your main bone of contention with,Angular Momentum,"The tendency of an object to continue rotating or revolving around a central axis, dependent on its mass and velocity.",Undergraduate
17,Piers,203.714,204.51,0.796,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=203, Eric Weinstein.,Mathematical Physics,Application of mathematical techniques to understand and describe physical phenomena.,Graduate
17,Piers,203.714,204.51,0.796,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=203, Eric Weinstein.,Geometric Algebra,Mathematical framework for describing geometric transformations using algebraic operations.,Undergraduate
18,Sean,206.69,262.366,55.676,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=206," You should probably ask Eric that. I mean, I'm a working physicist. I am a professor in a physics department. I write physics papers. I have found myself in the awkward and unenviable position of defending the establishment heterodoxy. Like, it's never what I imagined I would be doing. But there's good reasons why the heterodoxy is the heterodoxy. So I think that academic physics, even though I'm happy to disagree with certain choices they make about what to work on and what emphasis to put on there, is working in good faith. I think that we're trying our best to understand the universe at a deep level. String theory, which we'll talk about in the program, is one example of this. I have my disagreements with string theorists, my agreements with them, but I respect it, and I think that they're trying their best. And if someone else comes up with a better idea, they'll move what they're doing and focus on that idea. It just hasn't happened yet.",String Theory,A theoretical framework in physics attempting to unify fundamental forces and explain the universe's structure.,Undergraduate
18,Sean,206.69,262.366,55.676,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=206," You should probably ask Eric that. I mean, I'm a working physicist. I am a professor in a physics department. I write physics papers. I have found myself in the awkward and unenviable position of defending the establishment heterodoxy. Like, it's never what I imagined I would be doing. But there's good reasons why the heterodoxy is the heterodoxy. So I think that academic physics, even though I'm happy to disagree with certain choices they make about what to work on and what emphasis to put on there, is working in good faith. I think that we're trying our best to understand the universe at a deep level. String theory, which we'll talk about in the program, is one example of this. I have my disagreements with string theorists, my agreements with them, but I respect it, and I think that they're trying their best. And if someone else comes up with a better idea, they'll move what they're doing and focus on that idea. It just hasn't happened yet.",Heterodoxy,"An idea or theory that deviates from the established or conventional view, often considered unconventional or unorthodox.",High School
19,Piers,262.594,267.358,4.764,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=262," For those with smaller brain power than you, what is string theory?",String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by proposing that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
20,Sean,268.674,370.398,101.724,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=268," That's a great question. And in fact, very famous string theorist, Joe Polchinsky wrote a very influential paper called What is string theory? Decades after string theory started being a popular theory to think about. And the fact is we still don't know yet, it's an approach. You start with a very simple idea that instead of the universe being made of particle-like things at the fundamental level, like the electron being a point-like particle, the photon, etc., which we all knew wasn't exactly right anyway, but we can talk about that later, replaced that with a little loop of vibrating string. Now, why would you do that? There's a prehistory that goes into features of the strong interactions that motivated people to do it. They looked at this idea, what if the world were made of little loops of string rather than point particles? Problematically, the theory kept failing at what they were trying to do with it, which is explained the strong nuclear force because it kept predicting the existence of gravity. So eventually people said, well, wait a minute, gravity exists. Maybe this is a theory of gravity as well. And after many, many years of hard work on the part of people who were otherwise ignored by the community, they showed that it's actually a very successful theory of gravity and possibly everything else. You have to buy a lot of extra stuff like extra dimensions of space time that we don't see and so forth, what it's called the holographic principle, which again, we could get into if you want to. But the theory keeps moving forward while at the same time, utterly failing to connect directly with experiments. So this has caused, you know, a lot of hair pulling among the physics community. The theory looks very promising, but we haven't actually been able to put it to work to connect to the real world.",String Theory,"A theoretical framework that proposes the universe is composed of vibrating strings instead of point-like particles, which can explain both strong nuclear force and gravity.",Graduate
20,Sean,268.674,370.398,101.724,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=268," That's a great question. And in fact, very famous string theorist, Joe Polchinsky wrote a very influential paper called What is string theory? Decades after string theory started being a popular theory to think about. And the fact is we still don't know yet, it's an approach. You start with a very simple idea that instead of the universe being made of particle-like things at the fundamental level, like the electron being a point-like particle, the photon, etc., which we all knew wasn't exactly right anyway, but we can talk about that later, replaced that with a little loop of vibrating string. Now, why would you do that? There's a prehistory that goes into features of the strong interactions that motivated people to do it. They looked at this idea, what if the world were made of little loops of string rather than point particles? Problematically, the theory kept failing at what they were trying to do with it, which is explained the strong nuclear force because it kept predicting the existence of gravity. So eventually people said, well, wait a minute, gravity exists. Maybe this is a theory of gravity as well. And after many, many years of hard work on the part of people who were otherwise ignored by the community, they showed that it's actually a very successful theory of gravity and possibly everything else. You have to buy a lot of extra stuff like extra dimensions of space time that we don't see and so forth, what it's called the holographic principle, which again, we could get into if you want to. But the theory keeps moving forward while at the same time, utterly failing to connect directly with experiments. So this has caused, you know, a lot of hair pulling among the physics community. The theory looks very promising, but we haven't actually been able to put it to work to connect to the real world.",Holographic Principle,"An idea in string theory suggesting that information contained in a region of space can be encoded on its surface, requiring extra dimensions beyond our observable universe.",Graduate
21,Piers,370.722,372.894,2.172,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=370," Okay, Eric Wisder, your response to that.",,,
22,Eric,375.042,386.667,11.625,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=375," Well, first of all, I just assume that I'm being simulated by Sean Carroll. So who knows what's real, you know, more or less, whether we're in a simulation or whether we're in not a simulation.",Simulation Hypothesis,The idea that reality might be a simulation created by a more advanced civilization.,Undergraduate
22,Eric,375.042,386.667,11.625,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=375," Well, first of all, I just assume that I'm being simulated by Sean Carroll. So who knows what's real, you know, more or less, whether we're in a simulation or whether we're in not a simulation.",Many-Worlds Interpretation of Quantum Mechanics,"A theory in quantum mechanics where every time a decision is made, the universe splits into multiple parallel universes.",Graduate
23,Piers,386.667,408.158,21.491,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=386," It's a really good question. Before you get into your response, I mean, we don't actually know, do we? I mean, I have sometimes the most extraordinarily vivid deja vu dreams, or I dream stuff and then it seems to happen or whatever. And it always makes me sit there shaking and trembling and sweating and thinking, are we all just living in some weird simulation? How would we know?",Simulation Hypothesis,The idea that reality might be a simulation created by a more advanced civilization.,Undergraduate
23,Piers,386.667,408.158,21.491,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=386," It's a really good question. Before you get into your response, I mean, we don't actually know, do we? I mean, I have sometimes the most extraordinarily vivid deja vu dreams, or I dream stuff and then it seems to happen or whatever. And it always makes me sit there shaking and trembling and sweating and thinking, are we all just living in some weird simulation? How would we know?",Determinism vs. Free Will,A philosophical debate about whether human decisions are entirely determined or if we have genuine free will.,High School
24,Eric,410.914,435.838,24.924,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=410," Well, maybe we should never have legalized cannabis then. I don't know. The situation is that I think that Sean and I probably agree almost completely on everything until 1972. Then you have the first really serious situation where a mysterious term is not only introduced into our common vocabulary called quantum gravity.",Quantum Gravity,A theoretical framework that attempts to merge general relativity and quantum mechanics.,Undergraduate
25,Eric,436.418,462.526,26.108,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=436," but it takes over as a fictitious history that the central problem of theoretical physics is the quantization of gravity, which is not true historically. You can check it on Google Ngrams, so this is just a fiction. The progress in the object that tracks our progress in physics called the Lagrangian or the action,",Quantization of Gravity,The idea that gravity should be quantized like other fundamental forces in physics.,Graduate
25,Eric,436.418,462.526,26.108,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=436," but it takes over as a fictitious history that the central problem of theoretical physics is the quantization of gravity, which is not true historically. You can check it on Google Ngrams, so this is just a fiction. The progress in the object that tracks our progress in physics called the Lagrangian or the action,",Lagrangian or Action,"A mathematical function used to describe the dynamics of a physical system, often used to derive equations of motion.",Undergraduate
26,Eric,463.106,465.982,2.876,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=463, stops moving in 1973.,Velocity,The rate of change of an object's position with respect to time.,High School
26,Eric,463.106,465.982,2.876,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=463, stops moving in 1973.,Acceleration,The rate of change of an object's velocity with respect to time.,High School
27,Eric,466.722,467.454,0.732,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=466, And,,,
28,Eric,468.994,488.711,19.717,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=468," There's a bunch of wiggle words that I don't think we have time for between fundamental physics and regular physics. But then my guess is that the first problem that Sean and I will find ourselves at loggerheads over is that I think that making quantum gravity the holy grail of theoretical physics, which is repeated and perseverated at nauseam, is a terrible crime.",Quantum Gravity,Theoretical framework attempting to merge quantum mechanics and general relativity.,Graduate
28,Eric,468.994,488.711,19.717,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=468," There's a bunch of wiggle words that I don't think we have time for between fundamental physics and regular physics. But then my guess is that the first problem that Sean and I will find ourselves at loggerheads over is that I think that making quantum gravity the holy grail of theoretical physics, which is repeated and perseverated at nauseam, is a terrible crime.",General Relativity,"Theory of gravity developed by Albert Einstein, describing gravity as the curvature of spacetime.",Undergraduate
29,Piers,488.711,493.961,5.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=488," What is quantum gravity? Again, for those who are not as Ophi were this as you guys, what is quantum",Quantum Gravity,"A theoretical framework that attempts to merge general relativity and quantum mechanics, describing the behavior of gravity at very small distances and high energies.",Graduate
29,Piers,488.711,493.961,5.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=488," What is quantum gravity? Again, for those who are not as Ophi were this as you guys, what is quantum",Quantum Mechanics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where quantum effects become significant. It describes the wave-particle duality, uncertainty principle, and other phenomena.",Undergraduate
30,Eric,493.961,495.166,1.205,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=493," If I may, the",,,
31,Eric,496.002,528.638,32.636,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=496," So there's a standard story that you'll hear. More or less, Sean is part of a group of about five people who do most of the communication of theoretical physics to the American public. In the UK, there are a different one. And there's certain tropes that are repeated, and you don't hear anything else. So the trope that sounds something like this, we have two theories that are bedrock reality. We have one called the standard model, which covers three out of four forces, the non-gravitational ones, and all of the matter that we see in the universe, as well as something called the Higgs field and maybe some other fields as well.",Standard Model,"A theoretical framework in physics that describes three of the four fundamental forces (electromagnetic, weak nuclear, and strong nuclear) and all known subatomic particles.",Undergraduate
31,Eric,496.002,528.638,32.636,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=496," So there's a standard story that you'll hear. More or less, Sean is part of a group of about five people who do most of the communication of theoretical physics to the American public. In the UK, there are a different one. And there's certain tropes that are repeated, and you don't hear anything else. So the trope that sounds something like this, we have two theories that are bedrock reality. We have one called the standard model, which covers three out of four forces, the non-gravitational ones, and all of the matter that we see in the universe, as well as something called the Higgs field and maybe some other fields as well.",Higgs Field,A field that is responsible for giving mass to fundamental particles in the universe.,Undergraduate
32,Eric,530.082,580.158,50.076,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=530," In the other theory, we have Einstein's theory of gravity, which was put into relatively final form, before 1920, maybe by 1917. And then the claim is that the incompatibility between the two of them is that one of them is a quantum theory, that is the standard model of the nuclear forces, electromagnetism, is a quantum theory, whereas Einstein's gravitational theory, general relativity, has resisted quantization. And then, as the trope goes, that that incompatibility must be resolved by forcing the children of Einstein to submit to the will of the children of Bohr. And that explanation, to me, is patently absurd. There's an incompatibility in the classical version of the standard model before you get to the quantum version of the standard model, which is that one of them is a so-called gauge theory, and the other theory cannot be gauged.",General Relativity,"Einstein's theory of gravity, describing gravity as curvature of spacetime.",Undergraduate
32,Eric,530.082,580.158,50.076,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=530," In the other theory, we have Einstein's theory of gravity, which was put into relatively final form, before 1920, maybe by 1917. And then the claim is that the incompatibility between the two of them is that one of them is a quantum theory, that is the standard model of the nuclear forces, electromagnetism, is a quantum theory, whereas Einstein's gravitational theory, general relativity, has resisted quantization. And then, as the trope goes, that that incompatibility must be resolved by forcing the children of Einstein to submit to the will of the children of Bohr. And that explanation, to me, is patently absurd. There's an incompatibility in the classical version of the standard model before you get to the quantum version of the standard model, which is that one of them is a so-called gauge theory, and the other theory cannot be gauged.",Quantum Theory,Theory that describes the behavior of matter and energy at a subatomic level.,High School
32,Eric,530.082,580.158,50.076,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=530," In the other theory, we have Einstein's theory of gravity, which was put into relatively final form, before 1920, maybe by 1917. And then the claim is that the incompatibility between the two of them is that one of them is a quantum theory, that is the standard model of the nuclear forces, electromagnetism, is a quantum theory, whereas Einstein's gravitational theory, general relativity, has resisted quantization. And then, as the trope goes, that that incompatibility must be resolved by forcing the children of Einstein to submit to the will of the children of Bohr. And that explanation, to me, is patently absurd. There's an incompatibility in the classical version of the standard model before you get to the quantum version of the standard model, which is that one of them is a so-called gauge theory, and the other theory cannot be gauged.",Gauge Theory,Classical field theory describing symmetries in physical systems.,Undergraduate
33,Eric,581.026,582.901,1.875,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=581, successfully at least.,,,
34,Piers,582.901,584.67,1.769,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=582, What is it matters so much?,Importance,The importance of a concept refers to its significance and relevance in understanding the subject matter.,High School
34,Piers,582.901,584.67,1.769,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=582, What is it matters so much?,Significance,"Significance is related to the importance of a concept, but it also considers its impact on real-world applications or future developments.",Undergraduate
35,Piers,585.57,644.926,59.356,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=585," Tax Day has passed, but for millions of Americans, that's where the trouble begins. The IRS is now ramping up enforcement for those who miss the April deadline or still owe back taxes. Well, today's sponsor, Tax Network USA, can still help. If your books are a mess, you're self-employed, or if you're a business owner, Tax Network USA specializes in cleaning up financial chaos and getting you back on track quickly. It's so the IRS is applying enforcement pressure at levels they've never seen before. But even after the deadline, it's not too late to take control. The consultation is completely free. Acting now could stop penalties, threatening letters and surprise levies before they escalate. Call 1-800-958, 1000, or visit tnusa.com slash peers. That's tnusa.com slash peers. Let Tax Network USA make the next move, not the IRS.",,,
36,Eric,646.562,693.79,47.228,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=646," Why does it matter? Yeah. Well, it depends what you're trying to do. I mean, I can tell you why the lead tweet in my Twitter feed is assume a traversable cosmos. If Einstein is left in force, my claim is that there are only two rocks that Elon's chemical rockets can get us to, and that we've allowed ourselves to fall into the misunderstanding of Einstein's theory as the map of gravity rather than the territory of where we actually live. I don't think we live in space time at all. And Pierce, I just need to get to one further thing, which is that the really significant problem, I would say I am the only person in Generation X to have actually been present in the room",General Relativity,Theory of gravity developed by Einstein describing space-time as a flexible fabric that is warped by mass and energy.,Undergraduate
36,Eric,646.562,693.79,47.228,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=646," Why does it matter? Yeah. Well, it depends what you're trying to do. I mean, I can tell you why the lead tweet in my Twitter feed is assume a traversable cosmos. If Einstein is left in force, my claim is that there are only two rocks that Elon's chemical rockets can get us to, and that we've allowed ourselves to fall into the misunderstanding of Einstein's theory as the map of gravity rather than the territory of where we actually live. I don't think we live in space time at all. And Pierce, I just need to get to one further thing, which is that the really significant problem, I would say I am the only person in Generation X to have actually been present in the room",Space-Time,Concept in physics describing the four-dimensional fabric that combines three dimensions of space with one dimension of time.,High School
37,Eric,694.338,718.174,23.836,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=694," when everything shifted towards string theory, which happened in 1983 at the University of Pennsylvania, when a fellow named Edward Witten gave the first lecture that I think he ever did publicly on string theory. And his will and his mind were so powerful and his influence, so completely commanding, that the entire sociology of the field",String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that particles are one-dimensional strings rather than point-like objects.,Graduate
37,Eric,694.338,718.174,23.836,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=694," when everything shifted towards string theory, which happened in 1983 at the University of Pennsylvania, when a fellow named Edward Witten gave the first lecture that I think he ever did publicly on string theory. And his will and his mind were so powerful and his influence, so completely commanding, that the entire sociology of the field",General Relativity,"A fundamental theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by massive objects.",Undergraduate
38,Eric,718.85,730.11,11.26,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=718," turned on a dime in 83 and 84. And as such, I think I'm essentially the only person in Generation X who saw the old",Angular Momentum,Refers to an object's tendency to keep rotating or revolving around a central axis.,High School
38,Eric,718.85,730.11,11.26,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=718," turned on a dime in 83 and 84. And as such, I think I'm essentially the only person in Generation X who saw the old",Torque,A measure of the rotational force that causes an object to turn or rotate.,High School
39,Eric,730.786,779.774,48.988,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=730," culture of physics become the new culture of physics. And what I claim is that Sean and I probably aren't that divided even on the mathematics of string theory. Where we are bitterly divided is that I believe that Sean thinks that the system works pretty well. I would say he's part of the two cheers for the institutions, meaning that he has a to be sure paragraph saying that the institutions undoubtedly have their problems in which things could be done better, whereas I see an absolute collapse in the ethics, efficacy, productivity of this at our deepest levels. And if you're thinking about dark energy, dark matter, dark chemistry, all of the things that physics has done, essentially our modern world has been built by physicists, even molecular biology and the internet come out of physicists and CERN respectively.",Dark Energy,A hypothetical form of energy thought to be responsible for the accelerating expansion of the universe.,High School
39,Eric,730.786,779.774,48.988,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=730," culture of physics become the new culture of physics. And what I claim is that Sean and I probably aren't that divided even on the mathematics of string theory. Where we are bitterly divided is that I believe that Sean thinks that the system works pretty well. I would say he's part of the two cheers for the institutions, meaning that he has a to be sure paragraph saying that the institutions undoubtedly have their problems in which things could be done better, whereas I see an absolute collapse in the ethics, efficacy, productivity of this at our deepest levels. And if you're thinking about dark energy, dark matter, dark chemistry, all of the things that physics has done, essentially our modern world has been built by physicists, even molecular biology and the internet come out of physicists and CERN respectively.",Dark Matter,"A type of matter that does not emit, absorb, or reflect light, making it invisible and detectable only through its gravitational effects.",High School
